19.0,1541.0,175.154
90.0,1638.0,74.615
41.0,1638.0,93.615
33.0,1556.0,78.474
32.0,1472.0,18.553
85.0,1638.0,118.308
96.0,1556.0,18.46
87.0,1472.0,141.923
77.0,1495.0,193.462
85.0,1472.0,131.123
87.0,1541.0,159.923
47.0,1556.0,56.531
7.0,1638.0,115.462
88.0,1541.0,156.462
88.0,1638.0,107.385
7.0,1472.0,32.815
81.0,1556.0,25.256
17.0,1495.0,73.0
82.0,1541.0,99.231
77.0,1541.0,167.769
22.0,1541.0,78.462
41.0,1541.0,184.308
88.0,1556.0,18.559
53.0,1556.0,53.638
69.0,1541.0,189.692
35.0,1472.0,19.005
39.0,1472.0,22.52
63.0,1495.0,19.0
60.0,1472.0,56.099
84.0,1556.0,25.854
22.0,1556.0,92.116
39.0,1495.0,147.154
10.0,1495.0,109.308
13.0,1556.0,99.186
67.0,1495.0,37.462
7.0,1495.0,96.538
55.0,1638.0,193.231
33.0,1541.0,45.308
94.0,1638.0,8.692
8.0,1472.0,31.184
43.0,1556.0,64.796
81.0,1472.0,118.592
67.0,1541.0,183.769
2.0,1556.0,123.17
43.0,1541.0,160.692
63.0,1638.0,86.846
23.0,1541.0,186.846
3.0,1541.0,89.462
14.0,1541.0,63.0
28.0,1556.0,78.795
80.0,1472.0,119.04
10.0,1638.0,122.692
15.0,1472.0,23.994
34.0,1638.0,176.692
89.0,1556.0,19.186
68.0,1556.0,36.461
45.0,1556.0,64.043
70.0,1556.0,39.718
78.0,1472.0,107.353
99.0,1472.0,202.0
31.0,1541.0,129.769
97.0,1472.0,184.963
47.0,1638.0,137.538
8.0,1495.0,192.615
0.0,1495.0,82.231
18.0,1638.0,65.615
82.0,1495.0,1.692
2.0,1472.0,34.355
76.0,1541.0,132.385
87.0,1638.0,191.462
0.0,1556.0,117.9
69.0,1556.0,33.884
90.0,1541.0,81.0
74.0,1556.0,38.053
26.0,1472.0,18.203
82.0,1556.0,24.812
79.0,1556.0,31.576
4.0,1638.0,23.154
6.0,1556.0,112.633
11.0,1556.0,106.191
77.0,1472.0,107.518
38.0,1472.0,17.408
99.0,1495.0,113.231
53.0,1495.0,86.154
73.0,1472.0,89.803
99.0,1556.0,18.716
0.0,1638.0,47.308
49.0,1638.0,5.462
35.0,1556.0,70.117
98.0,1638.0,161.846
32.0,1556.0,76.318
80.0,1638.0,66.462
74.0,1638.0,2.077
12.0,1638.0,82.769
35.0,1638.0,62.077
90.0,1556.0,19.923
84.0,1495.0,77.077
24.0,1638.0,160.538
36.0,1541.0,62.385
30.0,1556.0,79.436
98.0,1556.0,15.687
40.0,1541.0,167.615
50.0,1638.0,168.308
47.0,1541.0,4.231
82.0,1638.0,170.077
55.0,1541.0,91.538
25.0,1541.0,24.846
72.0,1472.0,85.63
41.0,1472.0,17.863
24.0,1556.0,90.435
16.0,1541.0,77.769
98.0,1495.0,34.231
42.0,1472.0,17.292
